instance,weak_ub,lr200_raw
B_n100_001_a25_001,2144,2144.302831
B_n130_016_a25_046,2820,2820.502915
B_n150_030_a25_088,3561,3561.472277
B_n100_001_a50_002,3026,3026.252670
B_n130_016_a50_047,4184,4184.140390
B_n150_030_a50_089,4995,4995.085778
B_n100_001_a75_003,3119,3119.000000
B_n130_016_a75_048,4334,4334.274204
B_n150_030_a75_090,5282,5282.202351
C_n050_001_a25_001,735,735.047679
C_n065_018_a25_052,1390,1390.418649
C_n080_035_a25_103,1902,1902.761202
C_n050_001_a50_002,1240,1240.699344
C_n065_018_a50_053,1928,1928.192811
C_n080_035_a50_104,2807,2807.965390
C_n050_001_a75_003,1445,1445.317225
C_n065_018_a75_054,2146,2146.000000
C_n080_035_a75_105,2934,2934.051623
D_n040_001_a25_001,715,715.000006
D_n060_023_a25_067,1278,1278.327772
D_n080_045_a25_133,1956,1956.212177
D_n040_001_a50_002,970,970.695971
D_n060_023_a50_068,1786,1786.501274
D_n080_045_a50_134,2803,2803.502108
D_n040_001_a75_003,1202,1203.000000
D_n060_023_a75_069,2016,2016.106088
D_n080_045_a75_135,2953,2953.000000
EB_n100_001_a25_001,1611,1611.906784
EB_n130_016_a25_046,2268,2268.215686
EB_n150_030_a25_088,2983,2983.382898
EB_n100_001_a50_002,2862,2862.622490
EB_n130_016_a50_047,4096,4096.723759
EB_n150_030_a50_089,4944,4944.747829
EB_n100_001_a75_003,3115,3115.000000
EB_n130_016_a75_048,4332,4332.560880
EB_n150_030_a75_090,5281,5281.577181
EC_n050_001_a25_001,421,421.000712
EC_n065_018_a25_052,1186,1186.073581
EC_n080_035_a25_103,1593,1593.833332
EC_n050_001_a50_002,1107,1107.539659
EC_n065_018_a50_053,1894,1894.647025
EC_n080_035_a50_104,2695,2695.287353
EC_n050_001_a75_003,1444,1444.089012
EC_n065_018_a75_054,2146,2146.000000
EC_n080_035_a75_105,2932,2932.011505
ED_n040_001_a25_001,411,412.000000
ED_n060_023_a25_067,1050,1051.000000
ED_n080_045_a25_133,1710,1710.754775
ED_n040_001_a50_002,948,948.467545
ED_n060_023_a50_068,1739,1739.921058
ED_n080_045_a50_134,2684,2684.488155
ED_n040_001_a75_003,1201,1201.000000
ED_n060_023_a75_069,2002,2002.000267
ED_n080_045_a75_135,2943,2943.360493
