instance_id,family,n,alpha,num_processors_total,max_required_processors_per_job,max_jobs_per_processor,mean_jobs_per_processor,bpc_status,bpc_gap_pct,bpc_time_seconds,included_in_main_study,included_in_ablation_30,included_in_sensitivity_30,included_in_hard_tail_70
B_n100_001_a25_001,B,100,0.25,55,,11,3.7,optimal,0.0,0.0,True,True,True,False
B_n130_016_a25_046,B,130,0.25,55,,13,4.73,incumbent,0.01,720.6,True,False,False,True
B_n150_030_a25_088,B,150,0.25,55,,11,5.45,not_reported,,,True,False,False,False
B_n100_001_a50_002,B,100,0.5,55,,11,3.7,optimal,0.0,0.5,True,False,False,False
B_n130_016_a50_047,B,130,0.5,55,,13,4.73,incumbent,0.06,1445.3,True,False,False,False
B_n150_030_a50_089,B,150,0.5,55,,11,5.45,not_reported,,,True,False,False,False
B_n100_001_a75_003,B,100,0.75,55,,11,3.7,optimal,0.0,0.0,True,False,False,False
B_n130_016_a75_048,B,130,0.75,55,,13,4.73,incumbent,0.61,1449.9,True,False,False,False
B_n150_030_a75_090,B,150,0.75,55,,11,5.45,not_reported,,,True,False,False,False
C_n050_001_a25_001,C,50,0.25,55,,7,2.78,not_reported,,,True,True,True,False
C_n065_018_a25_052,C,65,0.25,55,,9,3.82,optimal,0.0,0.0,True,False,False,False
C_n080_035_a25_103,C,80,0.25,55,,10,4.36,not_reported,,,True,False,False,False
C_n050_001_a50_002,C,50,0.5,55,,7,2.78,not_reported,,,True,False,False,False
C_n065_018_a50_053,C,65,0.5,55,,9,3.82,incumbent,0.01,720.9,True,False,False,False
C_n080_035_a50_104,C,80,0.5,55,,10,4.36,not_reported,,,True,False,False,False
C_n050_001_a75_003,C,50,0.75,55,,7,2.78,not_reported,,,True,False,False,False
C_n065_018_a75_054,C,65,0.75,55,,9,3.82,optimal,0.0,1.2,True,False,False,False
C_n080_035_a75_105,C,80,0.75,55,,10,4.36,not_reported,,,True,False,False,False
D_n040_001_a25_001,D,40,0.25,55,,6,3.14,not_reported,,,True,True,True,False
D_n060_023_a25_067,D,60,0.25,55,,9,4.44,optimal,0.0,0.3,True,False,False,False
D_n080_045_a25_133,D,80,0.25,55,,12,5.82,not_reported,,,True,False,False,True
D_n040_001_a50_002,D,40,0.5,55,,6,3.14,not_reported,,,True,False,False,False
D_n060_023_a50_068,D,60,0.5,55,,9,4.44,incumbent,0.11,1378.3,True,False,False,False
D_n080_045_a50_134,D,80,0.5,55,,12,5.82,not_reported,,,True,False,False,True
D_n040_001_a75_003,D,40,0.75,55,,6,3.14,not_reported,,,True,False,False,False
D_n060_023_a75_069,D,60,0.75,55,,9,4.44,incumbent,0.12,730.7,True,False,False,False
D_n080_045_a75_135,D,80,0.75,55,,12,5.82,not_reported,,,True,False,False,False
EB_n100_001_a25_001,EB,100,0.25,55,,11,3.7,optimal,0.0,0.0,True,True,True,False
EB_n130_016_a25_046,EB,130,0.25,55,,13,4.73,optimal,0.0,0.8,True,False,False,False
EB_n150_030_a25_088,EB,150,0.25,55,,11,5.45,not_reported,,,True,False,False,False
EB_n100_001_a50_002,EB,100,0.5,55,,11,3.7,optimal,0.0,1156.1,True,False,False,False
EB_n130_016_a50_047,EB,130,0.5,55,,13,4.73,incumbent,0.2,2163.8,True,False,False,False
EB_n150_030_a50_089,EB,150,0.5,55,,11,5.45,not_reported,,,True,False,False,False
EB_n100_001_a75_003,EB,100,0.75,55,,11,3.7,optimal,0.0,1.4,True,False,False,False
EB_n130_016_a75_048,EB,130,0.75,55,,13,4.73,incumbent,0.2,1504.6,True,False,False,False
EB_n150_030_a75_090,EB,150,0.75,55,,11,5.45,not_reported,,,True,False,False,False
EC_n050_001_a25_001,EC,50,0.25,55,,7,2.78,not_reported,,,True,True,True,False
EC_n065_018_a25_052,EC,65,0.25,55,,9,3.82,incumbent,0.11,1378.5,True,False,False,False
EC_n080_035_a25_103,EC,80,0.25,55,,10,4.36,not_reported,,,True,False,False,False
EC_n050_001_a50_002,EC,50,0.5,55,,7,2.78,not_reported,,,True,False,False,False
EC_n065_018_a50_053,EC,65,0.5,55,,9,3.82,incumbent,0.02,1313.5,True,False,False,False
EC_n080_035_a50_104,EC,80,0.5,55,,10,4.36,not_reported,,,True,False,False,True
EC_n050_001_a75_003,EC,50,0.75,55,,7,2.78,not_reported,,,True,False,False,False
EC_n065_018_a75_054,EC,65,0.75,55,,9,3.82,optimal,0.0,0.0,True,False,False,False
EC_n080_035_a75_105,EC,80,0.75,55,,10,4.36,not_reported,,,True,False,False,False
ED_n040_001_a25_001,ED,40,0.25,55,,6,3.14,not_reported,,,True,True,True,False
ED_n060_023_a25_067,ED,60,0.25,55,,9,4.44,optimal,0.0,0.1,True,False,False,False
ED_n080_045_a25_133,ED,80,0.25,55,,12,5.82,not_reported,,,True,False,False,True
ED_n040_001_a50_002,ED,40,0.5,55,,6,3.14,not_reported,,,True,False,False,False
ED_n060_023_a50_068,ED,60,0.5,55,,9,4.44,incumbent,0.44,2164.7,True,False,False,False
ED_n080_045_a50_134,ED,80,0.5,55,,12,5.82,not_reported,,,True,False,False,False
ED_n040_001_a75_003,ED,40,0.75,55,,6,3.14,not_reported,,,True,False,False,False
ED_n060_023_a75_069,ED,60,0.75,55,,9,4.44,incumbent,1.64,2864.3,True,False,False,False
ED_n080_045_a75_135,ED,80,0.75,55,,12,5.82,not_reported,,,True,False,False,True
