instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n130_016_a25_046,EB,130,0.25,1,0,2237.0,2242,0.22301516503122212,1,91.03242459998,91.03245350008365,OBJ+12 tier->0
EB_n130_016_a25_046,EB,130,0.25,2,1,2237.0,2296,2.5696864111498257,1,90.03634959994815,181.06883320002817,STALL→tier0→1 d_max=10
EB_n130_016_a25_046,EB,130,0.25,3,2,2237.0,2268,1.3668430335097002,1,90.48949339997489,288.3764916000655,STALL→tier1→2 d_max=13
EB_n130_016_a25_046,EB,130,0.25,4,3,2237.0,2253,0.7101642254771415,1,90.07372089999262,399.7736632000888,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,0,1811.0,1923,5.824232969318772,1,90.95423999999184,90.95426820009016,OBJ+11 tier->0
D_n080_045_a25_133,D,80,0.25,2,0,1883.0,1923,2.080083203328133,1,90.18253200000618,181.13683410000522,OBJ+72 tier->0
D_n080_045_a25_133,D,80,0.25,3,1,1883.0,1998,5.7557557557557555,1,90.26136010000482,271.39824330003466,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,4,2,1883.0,1960,3.9285714285714284,1,98.27460300002713,384.0948912000749,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,5,3,1883.0,1944,3.137860082304527,1,90.0343586000381,487.67256080009975,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,0,1359.0,1687,19.442797866034383,1,90.77206450002268,90.77209510002285,OBJ+2 tier->0
ED_n080_045_a25_133,ED,80,0.25,2,0,1468.0,1687,12.981624184943689,1,91.10601270000916,181.87814309995156,OBJ+109 tier->0
ED_n080_045_a25_133,ED,80,0.25,3,0,1679.0,1687,0.4742145820983995,1,90.30522209999617,272.18341479997616,OBJ+211 tier->0
ED_n080_045_a25_133,ED,80,0.25,4,1,1679.0,1740,3.505747126436782,1,91.93508900003508,364.11853850004263,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,5,0,1680.0,1740,3.4482758620689653,1,90.96397919999436,471.3834430000279,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,6,1,1680.0,1710,1.7543859649122806,1,91.61122950003482,562.9947120000143,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,7,2,1680.0,1697,1.0017678255745435,1,92.60956820007414,669.705849400023,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,8,3,1680.0,1691,0.6505026611472502,1,90.2833779999055,776.6396241999464,TIERS_EXHAUSTED
EB_n100_001_a50_002,EB,100,0.5,1,0,2822.0,2824,0.0708215297450425,1,90.58584419998806,90.58588399994187,OBJ+2 tier->0
D_n080_045_a50_134,D,80,0.5,1,0,2740.0,2771,1.1187297004691448,1,94.34734819992445,94.34739389992319,OBJ+13 tier->0
D_n080_045_a50_134,D,80,0.5,2,1,2740.0,2816,2.6988636363636362,1,93.0850079000229,187.43244949996006,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,3,2,2740.0,2800,2.142857142857143,1,92.07595580001362,291.3095905999653,STALL→tier1→2 d_max=19
D_n080_045_a50_134,D,80,0.5,4,3,2740.0,2789,1.7569021154535676,1,91.8805599999614,396.549117699964,TIERS_EXHAUSTED
B_n130_016_a25_046,B,130,0.25,1,0,2744.0,2799,1.9649874955341193,1,91.2288516999688,91.22887250001077,OBJ+24 tier->0
B_n130_016_a25_046,B,130,0.25,2,1,2744.0,2860,4.055944055944056,1,90.2887866999954,181.51769450004213,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,3,2,2744.0,2823,2.798441374424371,1,90.02099780004937,288.25992620002944,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,4,3,2744.0,2802,2.0699500356887937,1,90.3452796000056,396.9467999000335,TIERS_EXHAUSTED
