instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n130_016_a25_046,EB,130,0.25,1,0,2237.0,2242,0.22301516503122212,1,90.09556740010157,90.09559389995411,OBJ+12 tier->0
EB_n130_016_a25_046,EB,130,0.25,2,1,2237.0,2242,0.22301516503122212,1,90.60994410002604,180.70557049987838,STALL→tier0→1 d_max=10
EB_n130_016_a25_046,EB,130,0.25,3,2,2237.0,2242,0.22301516503122212,1,90.39496659999713,301.5954688000493,STALL→tier1→2 d_max=13
EB_n130_016_a25_046,EB,130,0.25,4,3,2237.0,2242,0.22301516503122212,1,90.30996669991873,422.3981129999738,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,0,1802.0,1923,6.292251690067603,1,98.37244840012863,98.37249510013498,OBJ+2 tier->0
D_n080_045_a25_133,D,80,0.25,2,0,1811.0,1923,5.824232969318772,1,92.78899639984593,191.16153050004505,OBJ+9 tier->0
D_n080_045_a25_133,D,80,0.25,3,0,1883.0,1923,2.080083203328133,1,90.49919259990565,281.66075590020046,OBJ+72 tier->0
D_n080_045_a25_133,D,80,0.25,4,1,1883.0,1923,2.080083203328133,1,101.91526370006613,383.5760426002089,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,5,2,1883.0,1923,2.080083203328133,1,90.84745430015028,504.80767640005797,STALL→tier1→2 d_max=12
D_n080_045_a25_133,D,80,0.25,6,3,1883.0,1923,2.080083203328133,1,98.75090139987879,633.8264623000287,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,1,1357.0,1687,19.561351511558982,1,90.47689950000495,90.47692040004767,STALL→tier0→1 d_max=6
ED_n080_045_a25_133,ED,80,0.25,2,0,1478.0,1687,12.388855957320688,1,90.68725479999557,211.37950349994935,OBJ+121 tier->0
ED_n080_045_a25_133,ED,80,0.25,3,0,1579.0,1687,6.401896858328393,1,91.086353499908,302.4658852000721,OBJ+101 tier->0
ED_n080_045_a25_133,ED,80,0.25,4,0,1580.0,1687,6.342620035566093,1,95.89438470010646,398.36030469997786,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,5,0,1679.0,1687,0.4742145820983995,1,91.6864312000107,490.04676000005566,OBJ+99 tier->0
ED_n080_045_a25_133,ED,80,0.25,6,0,1680.0,1687,0.4149377593360996,1,90.61734519992024,580.6641581000295,OBJ+1 tier->0
ED_n080_045_a25_133,ED,80,0.25,7,1,1680.0,1687,0.4149377593360996,1,90.55677380017005,671.2209525001235,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,8,2,1680.0,1687,0.4149377593360996,1,98.48263019998558,799.7820187001489,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,9,3,1680.0,1687,0.4149377593360996,1,72.55797809991054,902.5948999000248,TIERS_EXHAUSTED
EB_n100_001_a50_002,EB,100,0.5,1,0,2821.0,2824,0.10623229461756376,1,90.18886430002749,90.18889639992267,OBJ+1 tier->0
EB_n100_001_a50_002,EB,100,0.5,2,0,2822.0,2824,0.0708215297450425,1,90.41928389994428,180.60821600002237,OBJ+1 tier->0
B_n130_016_a25_046,B,130,0.25,1,0,2744.0,2799,1.9649874955341193,1,90.71254809992388,90.71259090001695,OBJ+24 tier->0
B_n130_016_a25_046,B,130,0.25,2,1,2744.0,2799,1.9649874955341193,1,90.14925400004722,180.86188109987415,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,3,2,2744.0,2799,1.9649874955341193,1,91.2628965000622,302.1833812999539,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,4,3,2744.0,2799,1.9649874955341193,1,90.16699609998614,422.65819990006275,TIERS_EXHAUSTED
D_n080_045_a50_134,D,80,0.5,1,0,2739.0,2771,1.154817755322988,1,123.09079150017351,123.09081820002757,OBJ+12 tier->0
D_n080_045_a50_134,D,80,0.5,2,0,2740.0,2771,1.1187297004691448,1,100.61602099984884,223.70686679985374,OBJ+1 tier->0
D_n080_045_a50_134,D,80,0.5,3,1,2740.0,2771,1.1187297004691448,1,103.95104909990914,327.6579601999838,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,4,0,2746.0,2771,0.9022013713460845,1,92.46459149988368,450.1234754000325,OBJ+6 tier->0
D_n080_045_a50_134,D,80,0.5,5,0,2748.0,2771,0.8300252616383976,1,99.09067850001156,549.2142107998952,OBJ+2 tier->0
D_n080_045_a50_134,D,80,0.5,6,1,2748.0,2771,0.8300252616383976,1,128.92260929988697,678.1368642998859,STALL→tier0→1 d_max=14
D_n080_045_a50_134,D,80,0.5,7,2,2748.0,2771,0.8300252616383976,1,115.7080922999885,819.0670258998871,STALL→tier1→2 d_max=19
D_n080_045_a50_134,D,80,0.5,8,3,2748.0,2771,0.8300252616383976,1,81.92267580004409,917.9623436999973,TIERS_EXHAUSTED
