instance,family,n,alpha,group_id,bks,master_obj,master_rt_s,master_cert_gap_pct,master_status,beta_obj,beta_ub,beta_gap_pct,beta_ec_gain,beta_phases,beta_stop_reason,beta_total_rt_s,beta_raw_ub,beta_bound_mode,beta_cut_positive_gamma,beta_cut_positive_nu,beta_num_ub_refreshes,beta_num_lag_iters,beta_no_refresh,beta_vs_master,beta_vs_bks,beta_status
ED_n080_045_a75_135,ED,80,0.75,045,,2933.0,1252.2,0.3059,,2924.0,2943,0.6456,1,5,TIERS_EXHAUSTED,659.4,2944.0469,lag,,,0,273,0,-9.0,,NA
EB_n150_030_a50_089,EB,150,0.5,030,,4920.0,1507.6,0.2433,,4909.0,4936,0.5470,0,10,RT_CAP,937.4,4936.6307,lag,,,2,400,0,-11.0,,NA
ED_n080_045_a25_133,ED,80,0.25,045,,1681.0,1511.9,0.3557,,1680.0,1694,0.8264,0,9,TIERS_EXHAUSTED,973.5,1694.0006,lag,,,3,373,0,-1.0,,NA
EC_n080_035_a50_104,EC,80,0.5,035,,2667.0,1206.0,0.4108,,2665.0,2685,0.7449,0,3,TIERS_EXHAUSTED,301.3,2685.6286,lag,,,2,300,0,-2.0,,NA
D_n080_045_a25_133,D,80,0.25,045,,1910.0,1218.2,0.6760,,1883.0,1944,3.1379,0,5,TIERS_EXHAUSTED,608.3,1944.0687,lag,,,1,300,0,-27.0,,NA
EB_n130_016_a25_046,EB,130,0.25,016,2237.0,2237.0,1203.5,0.2230,,2237.0,2265,1.2362,0,4,TIERS_EXHAUSTED,456.4,2265.9304,lag,,,1,223,0,0.0,0.0,TIE
EC_n065_018_a50_053,EC,65,0.5,018,1883.0,1883.0,1202.1,0.2648,,1883.0,1889,0.3176,0,5,TIERS_EXHAUSTED,482.6,1889.5654,lag,,,1,300,0,0.0,0.0,TIE
B_n130_016_a25_046,B,130,0.25,016,2744.0,2744.0,903.6,1.9650,,2744.0,2820,2.6950,0,3,TIERS_EXHAUSTED,367.3,2823.3684,lag,,,0,193,0,0.0,0.0,TIE
D_n080_045_a50_134,D,80,0.5,045,,2749.0,941.5,0.7939,,2741.0,2791,1.7915,1,5,TIERS_EXHAUSTED,784.0,2791.1542,lag,,,1,283,0,-8.0,,NA
EB_n100_001_a50_002,EB,100,0.5,001,2822.0,2822.0,901.6,0.0708,,2822.0,2845,0.8084,0,5,TIERS_EXHAUSTED,484.7,2845.8050,lag,,,1,300,0,0.0,0.0,TIE
EC_n080_035_a75_105,EC,80,0.75,035,,2932.0,606.7,0.0000,,2922.0,2932,0.3411,1,4,TIERS_EXHAUSTED,438.7,2934.5279,lag,,,0,300,0,-10.0,,NA
D_n060_023_a50_068,D,60,0.5,023,1767.0,1767.0,607.2,0.2259,,1759.0,1771,0.6776,0,8,TIERS_EXHAUSTED,810.6,1771.3070,lag,,,2,500,0,-8.0,-8.0,GAP
ED_n080_045_a50_134,ED,80,0.5,045,,2666.0,629.6,0.2992,,2665.0,2675,0.3738,1,7,TIERS_EXHAUSTED,1186.7,2675.9663,lag,,,2,390,0,-1.0,,NA
C_n080_035_a50_104,C,80,0.5,035,,2778.0,605.8,0.1438,,2777.0,2796,0.6795,1,3,TIERS_EXHAUSTED,321.5,2796.8338,lag,,,1,300,0,-1.0,,NA
B_n130_016_a50_047,B,130,0.5,016,4157.0,4156.0,606.1,0.1681,,4156.0,4184,0.6692,0,9,TIERS_EXHAUSTED,954.1,4186.5807,lag,,,0,186,0,0.0,-1.0,GAP
