instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
EB_n150_030_a50_089,EB,150,0.5,1,1,4909.0,4944,0.7079288025889968,1,95.60574720008299,95.60578850004822,STALL→tier0→1 d_max=23
EB_n150_030_a50_089,EB,150,0.5,2,2,4909.0,4938,0.587282300526529,1,106.88667099992745,217.85920180007815,STALL→tier1→2 d_max=31
EB_n150_030_a50_089,EB,150,0.5,3,3,4909.0,4936,0.547001620745543,1,95.69632770004682,328.2489724000916,TIERS_EXHAUSTED
ED_n080_045_a25_133,ED,80,0.25,1,1,1680.0,1710,1.7543859649122806,1,99.2430620000232,99.2430861000903,STALL→tier0→1 d_max=8
ED_n080_045_a25_133,ED,80,0.25,2,2,1680.0,1709,1.6968987712112347,1,97.76510329986922,228.032722099917,STALL→tier1→2 d_max=11
ED_n080_045_a25_133,ED,80,0.25,3,3,1680.0,1696,0.9433962264150944,1,92.93822049978189,351.8806302999146,TIERS_EXHAUSTED
ED_n080_045_a75_135,ED,80,0.75,1,1,2924.0,2943,0.6455997281685355,1,99.11939639993943,99.11942459992133,STALL→tier0→1 d_max=17
ED_n080_045_a75_135,ED,80,0.75,2,2,2924.0,2943,0.6455997281685355,1,93.43602699995972,224.36703879991546,STALL→tier1→2 d_max=23
ED_n080_045_a75_135,ED,80,0.75,3,3,2924.0,2943,0.6455997281685355,1,114.27050410001539,369.37067370000295,TIERS_EXHAUSTED
EC_n080_035_a50_104,EC,80,0.5,1,1,2665.0,2695,1.1131725417439702,1,90.81604639999568,90.81606819992885,STALL→tier0→1 d_max=13
EC_n080_035_a50_104,EC,80,0.5,2,2,2665.0,2682,0.633855331841909,1,90.83609239989892,190.11515769991092,STALL→tier1→2 d_max=18
EC_n080_035_a50_104,EC,80,0.5,3,3,2665.0,2680,0.5597014925373134,1,90.4305902000051,283.1499157999642,TIERS_EXHAUSTED
D_n080_045_a25_133,D,80,0.25,1,1,1883.0,1956,3.7321063394683023,1,92.26780029991642,92.26783200004138,STALL→tier0→1 d_max=9
D_n080_045_a25_133,D,80,0.25,2,2,1883.0,1956,3.7321063394683023,1,95.51454059989192,218.46524409996346,STALL→tier1→2 d_max=12
