instance,family,n,alpha,lb_incumbent,bks,LR_100,LR_100_plus_LR_100,LR_200_cold,cutLR_cap_warm_100,cutLR_pair_warm_100,cutLR_triple_warm_100,best_cutLR_method,best_cutLR_gap,best_cutLR_delta_vs_LR_100,best_cutLR_delta_vs_LR_200_cold,best_cutLR_delta_vs_LR_100_plus_LR_100,cutLR_cap_warm_100_delta_vs_LR200,cutLR_cap_warm_100_delta_vs_LR100_continue,cutLR_pair_warm_100_delta_vs_LR200,cutLR_pair_warm_100_delta_vs_LR100_continue,cutLR_triple_warm_100_delta_vs_LR200,cutLR_triple_warm_100_delta_vs_LR100_continue
B_n100_001_a25_001,B,100,0.25,2142.0,2142.0,1.164632751470578,0.1099227608566177,0.1073929789071803,0.0849836230316121,0.0900679580179856,0.1091475701204737,cutLR_cap_warm_100,0.0849836230316121,1.079649128438966,0.022409355875568207,0.024939137825005606,0.022409355875568207,0.024939137825005606,0.0173250208891947,0.0198548028386321,-0.0017545912132933966,0.0007751907361440019
B_n100_001_a50_002,B,100,0.5,3025.0,3025.0,0.0511055366733488,0.0419115397968667,0.0413934237414282,0.0343557719529512,0.0343557719529512,0.0413941767313425,cutLR_cap_warm_100,0.0343557719529512,0.016749764720397603,0.007037651788477005,0.007555767843915505,0.007037651788477005,0.007555767843915505,0.007037651788477005,0.007555767843915505,-7.52989914296065e-07,0.000517363065524204
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,6.639581046844054e-08,4.694438988064648e-10,4.694438988064648e-10,3.40980323666094e-10,3.40980323666094e-10,3.40980323666094e-10,cutLR_cap_warm_100,3.40980323666094e-10,6.605483014477444e-08,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10,1.2846357514037078e-10
B_n130_016_a25_046,B,130,0.25,2744.0,2744.0,4.0667962283164085,2.81112557317482,2.7123855881946346,2.35118616172726,2.2600153027598977,2.4397775896647085,cutLR_pair_warm_100,2.2600153027598977,1.8067809255565108,0.4523702854347369,0.5511102704149224,0.3611994264673748,0.45993941144756034,0.4523702854347369,0.5511102704149224,0.2726079985299261,0.37134798351011167
B_n130_016_a50_047,B,130,0.5,4156.0,4157.0,1.017951622487831,0.6725489050621629,0.6725489050621629,0.6521738264448536,0.7142625082601257,0.6594161853501889,cutLR_cap_warm_100,0.6521738264448536,0.36577779604297755,0.02037507861730936,0.02037507861730936,0.02037507861730936,0.02037507861730936,-0.0417136031979628,-0.0417136031979628,0.01313271971197405,0.01313271971197405
B_n130_016_a75_048,B,130,0.75,4333.0,4216.0,0.0373430328406918,0.0290714233254495,0.0293983210407627,0.0272344669777673,0.0272344669777673,0.0272344669777673,cutLR_cap_warm_100,0.0272344669777673,0.010108565862924499,0.0021638540629954003,0.0018369563476821997,0.0021638540629954003,0.0018369563476821997,0.0021638540629954003,0.0018369563476821997,0.0021638540629954003,0.0018369563476821997
B_n150_030_a25_088,B,150,0.25,3550.0,,0.9301009747388594,0.3303149557990203,0.3221217432120732,0.3254082581304276,0.2831082711236674,0.2845792302557492,cutLR_pair_warm_100,0.2831082711236674,0.6469927036151921,0.03901347208840583,0.04720668467535294,-0.0032865149183544107,0.004906697668592697,0.03901347208840583,0.04720668467535294,0.03754251295632399,0.0457357255432711
B_n150_030_a50_089,B,150,0.5,4973.0,,0.7666514367375193,0.4421501193341615,0.4421501193341615,0.4345261479633024,0.4345261479633024,0.3493966661821063,cutLR_triple_warm_100,0.3493966661821063,0.41725477055541305,0.09275345315205519,0.09275345315205519,0.007623971370859073,0.007623971370859073,0.007623971370859073,0.007623971370859073,0.09275345315205519,0.09275345315205519
B_n150_030_a75_090,B,150,0.75,5281.0,,0.0313779316359848,0.0303654830105892,0.0227623068027422,0.0238812204545019,0.0238812204545019,0.0238812204545019,cutLR_cap_warm_100,0.0238812204545019,0.007496711181482898,-0.001118913651759701,0.006484262556087299,-0.001118913651759701,0.006484262556087299,-0.001118913651759701,0.006484262556087299,-0.001118913651759701,0.006484262556087299
C_n050_001_a25_001,C,50,0.25,735.0,735.0,0.4380508209316551,0.0087358186536709,0.0064865294577491,0.0024172598700506,0.0067246681962312,0.0067246681962312,cutLR_cap_warm_100,0.0024172598700506,0.4356335610616045,0.0040692695876985005,0.0063185587836203,0.0040692695876985005,0.0063185587836203,-0.00023813873848209984,0.0020111504574396996,-0.00023813873848209984,0.0020111504574396996
C_n050_001_a50_002,C,50,0.5,1236.0,1236.0,2.300541991924665,0.378765701033329,0.378765701033329,0.2683634554143265,0.3527801854986183,0.1189531383772434,cutLR_triple_warm_100,0.1189531383772434,2.1815888535474217,0.2598125626560856,0.2598125626560856,0.11040224561900253,0.11040224561900253,0.025985515534710735,0.025985515534710735,0.2598125626560856,0.2598125626560856
C_n050_001_a75_003,C,50,0.75,1445.0,1445.0,0.1006322799061479,0.0219484458231231,0.0219484458231231,0.018922368674138,0.018922368674138,0.018922368674138,cutLR_cap_warm_100,0.018922368674138,0.0817099112320099,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006,0.0030260771489851006
C_n065_018_a25_052,C,65,0.25,1386.0,1386.0,2.013335846958054,0.3177927067071273,0.3177927067071273,0.2298075709559141,0.1882315943786985,0.2480940220105367,cutLR_pair_warm_100,0.1882315943786985,1.8251042525793555,0.1295611123284288,0.1295611123284288,0.0879851357512132,0.0879851357512132,0.1295611123284288,0.1295611123284288,0.06969868469659057,0.06969868469659057
C_n065_018_a50_053,C,65,0.5,1905.0,1905.0,2.392683808680664,1.2028263551541305,1.2028263551541305,1.0335499938094317,1.0335499938094317,0.4720417579401126,cutLR_triple_warm_100,0.4720417579401126,1.9206420507405515,0.7307845972140179,0.7307845972140179,0.1692763613446988,0.1692763613446988,0.1692763613446988,0.1692763613446988,0.7307845972140179,0.7307845972140179
C_n065_018_a75_054,C,65,0.75,2146.0,2146.0,9.322956406996434e-10,9.322956406996434e-10,9.322956406996434e-10,9.322956406996434e-10,9.322956406996434e-10,9.322956406996434e-10,cutLR_cap_warm_100,9.322956406996434e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_n080_035_a25_103,C,80,0.25,1897.0,,0.4869364135254187,0.3027811592884436,0.3027811592884436,0.2644775894618549,0.300138106424253,0.255079073656578,cutLR_triple_warm_100,0.255079073656578,0.23185733986884072,0.04770208563186562,0.04770208563186562,0.038303569826588724,0.038303569826588724,0.0026430528641906426,0.0026430528641906426,0.04770208563186562,0.04770208563186562
C_n080_035_a50_104,C,80,0.5,2778.0,,1.653796843512915,1.0796497057831536,1.0671566775567842,1.00768177697466,1.00768177697466,0.6210264734711473,cutLR_triple_warm_100,0.6210264734711473,1.0327703700417676,0.44613020408563697,0.4586232323120063,0.059474900582124235,0.07196792880849356,0.059474900582124235,0.07196792880849356,0.44613020408563697,0.4586232323120063
C_n080_035_a75_105,C,80,0.75,2934.0,,0.0097115534259929,0.0018579333411722,0.0017594466149232,0.001814818093793,0.001814818093793,0.001814818093793,cutLR_cap_warm_100,0.001814818093793,0.0078967353321999,-5.5371478869799956e-05,4.311524737920006e-05,-5.5371478869799956e-05,4.311524737920006e-05,-5.5371478869799956e-05,4.311524737920006e-05,-5.5371478869799956e-05,4.311524737920006e-05
D_n040_001_a25_001,D,40,0.25,715.0,715.0,0.0023962304697966,1.0343001810272348e-06,8.028276620795163e-07,1.7953920701665769e-06,1.446581115225793e-06,1.446581115225793e-06,cutLR_pair_warm_100,1.446581115225793e-06,0.0023947838886813743,-6.437534531462767e-07,-4.122809341985582e-07,-9.925644080870607e-07,-7.610918891393421e-07,-6.437534531462767e-07,-4.122809341985582e-07,-6.437534531462767e-07,-4.122809341985582e-07
D_n040_001_a50_002,D,40,0.5,970.0,970.0,1.4626475782506227,0.0716981588179275,0.0716981588179275,0.0577523081573229,0.0643698624676449,0.0651702966679252,cutLR_cap_warm_100,0.0577523081573229,1.4048952700933,0.013945850660604601,0.013945850660604601,0.013945850660604601,0.013945850660604601,0.0073282963502826065,0.0073282963502826065,0.006527862150002298,0.006527862150002298
